AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Retailer Agent,,,2 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,99151661,-11.74034,7.96635,
Mobile Money,Afrimoney,Retailer Agent,,,Fenton Road,Bo,BO TOWN,SOUTHERN,BO,,,,88902526,-11.74034,7.96645,
Mobile Money,Afrimoney,Retailer Agent,,,3 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,99949968,-11.74032,7.96647,
Mobile Money,Afrimoney,Retailer Agent,,,2 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,88902526,-11.74032,7.9664,
Mobile Money,Afrimoney,Retailer Agent,,,Borba Grand,Bo,BO TOWN,SOUTHERN,BO,,,,33645376,-11.74031,7.96639,
Mobile Money,Afrimoney,Retailer Agent,,,4 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,99151661,-11.74031,7.96666,
Mobile Money,Afrimoney,Retailer Agent,,,2 Bojon St,Bo,BO TOWN,SOUTHERN,BO,,,,33645376,-11.74028,7.96642,
Mobile Money,Afrimoney,Retailer Agent,,,Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,33645376,-11.74027,7.96639,
Mobile Money,Afrimoney,Retailer Agent,,,6 Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,30123004,-11.74026,7.96635,
Mobile Money,Afrimoney,Retailer Agent,,,Bojon Street,Bo,BO TOWN,SOUTHERN,BO,,,,30123004,-11.74023,7.9664,
Mobile Money,Afrimoney,Retailer Agent,,,15 Dambala Road,Bo,BO TOWN,SOUTHERN,BO,,,,30546569,-11.74012,7.96266,
Mobile Money,Afrimoney,Retailer Agent,,,149 Dambala Road Sammie,Bo,BO TOWN,SOUTHERN,BO,,,,33745696,-11.73991,7.97734,
Mobile Money,Afrimoney,Retailer Agent,,,Kissy Town Road,Bo,BO TOWN,SOUTHERN,BO,,,,77408704,-11.73989,7.96645,
