AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,Chiefdom,Region,District,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,43 Big Waterloo Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.238354,8.484444,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,53 Campbell Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.239813,8.477818,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,54 Peninsular Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.274774,8.452917,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,"55 Regent Road,  Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.263528,8.452027,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,79 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.202756,8.479227,
Foreign Exchange Bureaus,Amannah Foreign Exchange Bureau Limited,HQ,,,152 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,Ambchelle Foreign Exchange Bureau Limited,HQ,,,88 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235692,8.486882,
Foreign Exchange Bureaus,Archway Foreign Exchange Bureau Limited,HQ,,,40 Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.273371,8.476726,
Foreign Exchange Bureaus,Ayoub Foreign Exchange Bureau Limited,HQ,,,7 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Baizah Foreign Exchange Bureau,HQ,,,109 Fourah Bay Road,Freetown,EAST I,WESTERN,WESTERN URBAN,,,,,-13.213797,8.489272,
Foreign Exchange Bureaus,Best Foreign Exchange Bureau Limited,HQ,,,20 Sanders Street,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.241191,8.481403,
Foreign Exchange Bureaus,Beyond Foreign Exchange Bureau Limited,HQ,,,106 Campbell Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.239813,8.477818,
Foreign Exchange Bureaus,Bigluma Foreign Exchange Bureau Limited,HQ,,,"29 Charles Street,  Cline Town",Freetown,EAST I,WESTERN,WESTERN URBAN,,,,,-13.210934,8.489325,
Foreign Exchange Bureaus,Bimi Foreign Exchange Bureau,HQ,,,13B Howe Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.233177,8.48913,
Foreign Exchange Bureaus,Blue Circle Foreign Exchange Bureau Limited,HQ,,,18 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,BnB Transfer Foreign Exchange Bureau Limited,HQ,,,31 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Brimes Foreign Exchange Bureau Limited,HQ,,,37 Regent Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.22939,8.486114,
Foreign Exchange Bureaus,BS Foreign Exchange Bureau Limited,HQ,,,98 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,City Centre Foreign Exchange Bureau Limited,HQ,,,12 Sani Abacha Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228816,8.488167,
Foreign Exchange Bureaus,City Hotel Foreign Exchange Bureau Limited,HQ,,,23 Lightfoot Boston Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23755,8.488433,
Foreign Exchange Bureaus,Cutting Edge Foreign Exchange Bureau Limited,HQ,,,64 Sir Samuel Lewis Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.281012,8.492229,
Foreign Exchange Bureaus,Dallaco Foreign Exchange Bureau Limited,HQ,,,7 Upper East Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.230169,8.487609,
Foreign Exchange Bureaus,De Bees Foreign Exchange Bureau Limited,HQ,,,33 Circular Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23076,8.478446,
Foreign Exchange Bureaus,Dem Foreign Exchange Bureau Limited,HQ,,,3 Ecowas Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231634,8.490214,
Foreign Exchange Bureaus,Dycar Foreign Exchange Bureau Limited,HQ,,,1 Signal Hill Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.264414,8.482592,
Foreign Exchange Bureaus,Esscon Foreign Exchange Bureau Limited,HQ,,,31 Spur Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.268724,8.467703,
Foreign Exchange Bureaus,Fatismed Foreign Exchange Bureau Limited,HQ,,,5 Gloucester Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.234915,8.489234,
Foreign Exchange Bureaus,Financial Services Foreign Exchange  Limited,HQ,,,"1 Beach Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.272206,8.456697,
Foreign Exchange Bureaus,First Step Foreign Exchange Bureau Limited,HQ,,,4 Liverpool Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.237016,8.485692,
Foreign Exchange Bureaus,Freetown Foreign Exchange Bureau,HQ,,,47 Sani Abacha Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228816,8.488167,
Foreign Exchange Bureaus,Goshen Foreign Exchange Bureau Limited,HQ,,,19 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Gracemon Investment Foreign Exchange Bureau Limited,HQ,,,"5A Ross Road, Cline Town",Freetown,EAST I,WESTERN,WESTERN URBAN,,,,,-13.212833,8.483576,
Foreign Exchange Bureaus,Grand Leone Foreign Exchange Bureau Limited,HQ,,,"72 Cape Road, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.288629,8.493333,
Foreign Exchange Bureaus,Guardian Foreign Exchange Bureau Limited,HQ,,,"20B Old Railway Line,  Brookfields",Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.246886,8.475812,
Foreign Exchange Bureaus,Harry�s Foreign Exchange Bureau Limited,HQ,,,56 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.235435,8.487331,
Foreign Exchange Bureaus,Hepom Foreign Exchange Bureau Limited,HQ,,,"89 E  Main Motor Road, Congo Cross",Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.253078,8.478952,
Foreign Exchange Bureaus,I B C Foreign Exchange Bureau Limited,HQ,,,29 Liverpool Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.237016,8.485692,
Foreign Exchange Bureaus,Ibleo Foreign Exchange Bureau Limited,HQ,,,3 Cline Street,Freetown,EAST I,WESTERN,WESTERN URBAN,,,,,-13.207821,8.489541,
Foreign Exchange Bureaus,Imek Foreign Exchange Bureau Limited,HQ,,,22 Sackville Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228846,8.487512,
Foreign Exchange Bureaus,Jabex Foreign Exchange Bureau Limited,HQ,,,21 Goderich Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228147,8.487099,
