AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
MFI Credit taking,ZAHLANFX Limited,HQ,,,377 bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.20276,8.47923,
MFI Credit taking,Betteh Life Microcredit and Investments Limited,HQ,,,1 Kojuma Street,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.1944,8.46615,
MFI Credit taking,Capital One Microfinance,HQ,,,"5 Mansaray Lane, Calaba Town",Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.15958,8.4333,
MFI Credit taking,Primhawill Microfinance Limited,HQ,,,"9K Sayenu Street,  Calaba Town",Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.15578,8.43128,
MFI Credit taking,Progressive Microfinance SL Limited,HQ,,,"4 Kargbo Lane, Mahera Road",Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.19785,8.60541,
MFI Credit taking,Richa Faith Microfinance ,HQ,,,"1 Kamanda Street, Bo",KissyTown,KENEMA CITY,EASTERN,KENEMA,,,,,-11.19536,7.86285,
MFI Credit taking,Global Osusu Savings and Credit Association SL Ltd,HQ,,,6 Circular Road,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.18898,7.87359,
MFI Credit taking,Trust Microfinance & Title Loans (SL) Limited,HQ,,,19 Bockarie Gbay Street,kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.18213,7.87186,
MFI Credit taking,GSA Enterprises (SL) Limited,HQ,,,9 Combema Road,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.1756,7.87642,
MFI Credit taking,Code Salone Microfinance Company (SL) Limited,HQ,,,28 Kamanda Street,Koidu,KOIDU CITY,EASTERN,KONO,,,,,-10.97469,8.64359,
MFI Credit taking,ASA Microfinance (SL) Limited,HQ,,,Belabu Pendembu Road,Kailahun,LUAWA,EASTERN,KAILAHUN,,,,,-10.57531,8.27386,
MFI Credit taking,Payee Day Loan Company ,HQ,,,6 Station Road,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.04021,8.88665,
MFI Credit taking,Edunations Microfinance Limited ,HQ,,,14 John Tucker Street,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.03757,8.87202,
MFI Credit taking,Loans and Savings Management (LSM),HQ,,,Opposite Court Barry Mafaray Village,Mafaray Village,SAFROKO LIMBA,NORTHERN,BOMBALI,,,,,-11.96512,8.95632,
MFI Credit taking,Munafa Limited,HQ,,,35 Carlmont Road,Waterloo,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.07043,8.33178,
